ID,comment,sentiment
40,ဖာကောင်းနင်ငှားတဲ့ဖာသယ်မတွေဆွေးရိနေတဲ့ဖာသယ်မစောက်ပတ်ပြဲတွေပြော့ပလက်နေတာဘဲနင်ကဖာကောင်းဆိုတော့ဘယ်လောက်ဆော်ထားဘီလဲဖာကောင်းကြီး,negative
41,အရမ်းြကိုက်တယ်ညီရေမိုက်တယ်,positive
42,ဖွင့်နေကျ သီချင်းလေး,positive
43,ပို႔ေပးပါ,neutral
44,အရမ္းျကိုက္,positive
45,ငါကရိုးသားသူတယောက်မိုနင်လိုလူကိုငါရပ်လိုက်ပါပီနင်ကဖာသယ်မပွဲစားပဲငါမှာအရာရှိနဲ့ရနေပီငါ့ဘဝကပြည့်စုံပါတယ်မမ,negative
46,ပီ,negative
47,နင့်ရဲဖြေဆိုခန်းမှာအဖြေထွက်နေပီငါ့ကိုဒုတ်ခမပေးပါနဲ့နင်ကအိုတောမြတ်နုဘဲကြိုက်မှာဘဲလာပီးအစဖော်မနေနဲ့ငါ့ဘဝနဲ့ငါရှိပါစေဝက်သားဒုတ်ထိုးကြွေးပါနင်စောက်ကျင့်တွေပေါ်လာပွရပ်ပါမမ,negative
48,မောင်ဝအောင်မနေနဲ့နော်ဝအချိန်မှာမလှဘူးပိန်မှကြည့်လို့ကောင်းတယ်မမ,negative
49,ဖာကောင်းကြီးဝမ်းသာမနေနဲ့နင်ဖာကောင်းဆန်ဆန်စောက်ပတ်ယက်ပြပါလားနင်ကိုအကုန်သိသွားအောင်နင့်ကိုရွံတယ်ဖာသယ်မဖင်ကစောက်ပတ်ရေယက်တဲ့အကောင်ဖာကောင်းကြီးရွံတယ်မလာပါနဲ့ခွေးကမွေးတဲ့ခွေးကြီး,negative
50,အားပေးနေတယ် ကိုရီး အရမ်းနားထောင်ကောင်းတယ်,positive
51,👑💪,positive
52,🥇,positive
53,🤍,positive
54,ကျတော်တောင် နှစ်ကြီးလာခဲ့ပြီဘဲ့🎉,positive
55,အခုထိ,neutral
56,ဒီဘဲ စောက်ရမ်းမိုက်တဲ့ဘဲ ဖြစ်လာမယ်လို့ ဘယ်သူထင်ခဲ့မှာလဲ,positive
57,အဲ့အကိုသိချင်းအသစ်ထွက်တဲ့ ကောင်မလေးကိုချူပ်ထားတဲ့အခန်းပါတဲ့သီခိင်းကဘာသီချင်းလဲသိတဲ့သူရှိရင်ပြောပြကြပါ😢,neutral
58,အခုထိကြိုက်တုံးပါပဲ🎉,positive
59,💯👍🙋,positive
60,ဘယ်ချိန်နားထောင် နားထောင်ရှယ်ပဲ,positive
61,🥲,negative
62,ပြန်ရောက်ချင်တယ် 😌😌သူနဲ့ပြန်စု့ချင်တေးတယ်,neutral
63,😂😂😂,positive
64,အခုထိ မိုက်တုန်း🔥,positive
65,ေတာ္ေတာ္ႀကိဳက္တယ္ဗ်ာ,neutral
66,💖😛,positive
67,👍😽,positive
68,တော်တော်ကြွေနေပီဗျာ🤒,positive
69,🥲👋သူမပြန်မလာတော့ဘူး🤏,negative
70,ကုလားကြီးလို့မနေနဲ့နော်။။ချစ်မမ,negative
71,👍👍👍👍👍👍👍,positive
73,မှာတင်ပေးပါအုန်းဗျာ,neutral
74,🤘 🔥,positive
75,သူမထားခဲ့တုန်းက မိုးရေထဲမှာ 😟,negative
76,ကုိ သိတဲ့သီခ်င္း 🔥🤘,positive
77,တိုက်ဆိုင်နေတယ်ဗျအြမဲတမ်းနားထောင်ြဖစ်တယ်,positive
78,😍😍😘😘,positive
79,👑,positive
80,🤘,positive
81,😍😍😍😍😍😘😍,positive
82,စေႂကြခဲ့တဲ့,neutral
83,ဒိသီးချင်းတွေကပဲ ကျွန်တော့ကို ဆွထူခဲ့တာခုကျွန်တော်လဲ လမ်းကြောင်းပေါ်တက်လာပြီ,positive
86,ခုချိန် ကြီးကဝလို့တုတ်လို့ဗျာ,negative
87,ဒီသီချင်းလေးနဲ့စသိခဲ့တာ,positive
88,အလင်းရောင်လေးတေမှိတ်ထားပါ အခန်းတံခါးကိုယ်ပိတ်ထားပါ မင်းရဲ့ဖုန်းလေးကိုယ် 😊,neutral
89,တို့ကို ထိနားထောင်မိတုန်း,positive
90,ေစာ္ေလးကဆဲြေဆာင္မႈ႐ွီးတယ္ေနာ 😘😘😘😘,positive
91,တစ်ယောက်လောက်လိုချင်တယ်😢,negative
92,ဘာကိုစွမ်းတာတုံး😂,neutral
93,😊,positive
94,🎉🎉🎉🎉,positive
95,😟,neutral
96,နင်ဖာမတွေနဲ့ဆက်တွဲနေရင်ငါ့ကိုဖြတ်လိုက်ပါမမ,negative
97,အရမ္း ႀကိဳက္ ပါ တယ္ 😛,positive
99,🖤🖤🖤🖤,positive
100,ကြီးကိုချစ်မိပြီးမဖွင့် ေပြာဘူးဘာလို့ဆိုသူက ငါ့ ကိုကြိုက်လို့တဲ့ငါကနာကျင် ေနရတာ သူကလဲ ေပြာတယ်ငါနင့်ငယ်သူငယ်ချင်းကိုကြိုက်လို့ငါက ေတာ့ပြံုးပီးေန ေပမဲ့စိတ်ထဲမာ😢😢,negative
103,😂,positive
105,😮😢😅😊😮😊😢😢😂🎉😮😅😊😊😅😅😅😮,positive
106,အရမ်းကြိုက်တယ်,positive
107,မိုက်တယ်ကွာ😉🥰💽🙈,positive
108,😂😂,positive
110,🥁,positive
112,🤩,positive
113,😊🤙,positive
114,💗🎧,positive
115,😮,neutral
116,🖤💗,positive
117,💘💘😘,positive
118,🥰,positive
119,😩,neutral
120,ရှာနေတာကြာပြီ,positive
121,ကောင်းလိုက်တဲ့ သီးချင်း,positive
122,👀💘💘💘💘💘,positive
124,😭🖤,positive
125,💗,positive
126,မှာ လေးလိုခ်င္လို့ပါ လိုသံုးဆိုရင္ေတာ့လစ္ေပါ့,negative
127,နင်ကအအသက်ကြီးလာပီကလေးကလားတွေဆိုမနေနဲ့နင်သားသမီးတောင်အပျိုတွေဖြစ်နေပီနော်,negative
128,😊😊😊😊,positive
129,😍,positive
130,😻,positive
131,🧡💜,positive
132,💚,positive
133,ကောင်းတယ်😁,positive
134,😘😘,positive
135,😊😊,positive
136,ဒီသီခ်င္းကိုေတာ့အေသႀကိဳက္သြားပီ😍😍😍မိမိနဲ႔လဲတူေနေတာ့😎😎,positive
137,ပထမအဆိုတော်ကို ပိုကြိုက်တယ်,positive
138,ရမ်းမိုက်🥺🔥,positive
139,ေသာက္ရမ္းမိုက္,positive
140,ေန႔တိုင္းနားေထာင္္ျဖစ္တယ္ သီခ်င္းေကာင္းေလးေတြထပ္တင္ေပးပါဦး,positive
141,မဆိုးပါဘူ,positive
142,ကောင်း,positive
143,မောင်မန်တလေးမှာအဆင်ပြေပါစေ။အိမ်ထောင်ကြသွားပီလား။။ချစ်မမ,negative
144,မောင့်ကိုအားပေးလျက်ပါ။။ချစ်မမ,positive
145,အသံမုိက္တယ္,positive
146,🥵 🥰,positive
147,ခ်စ္တယ္ကိုကိုရႈိင္းဝနေနာ္အစ္ကိုမဟုတ္ဘူး,neutral
148,😁😁,positive
149,အသံကတော့ရှယ်ပဲ,positive
150,ငါ့ကိုႀကိဳက္သြားတဲ့အခ်က္နဲ႔ေတာင္တူတယ္,neutral
151,😁😁😁,positive
152,😍😘😘😍😍😘,positive
153,မိုက္တယ္,positive
154,🤟,positive
155,က ပါတယ္တာေၾကာင့္ႀကိဳက္တာ,neutral
156,မိုက္တယ္ကြာ,positive
157,👉😘😘😘👈,positive
158,👉👈,positive
159,အဲသီချင်းကိုရှာနေတာအခုမှတွေ့တော့တယါ,positive
160,ကောင်းပါတယ်စိတ်ပြတ်ဖို့,negative
161,😘😘😘,positive
162,တီးလုံးကေကာင္းတယ္,positive
163,မိုက်တယ်,positive
164,ကောင်းတယ်🙆💕💕,positive
165,သံကအသက္ျကိုက္တယ္စာသားေလးတင္ေပးပါလာ💖👍,positive
166,အေသႀကိဴက္အုိက္ေဒါ,neutral
167,ေႂကြ,neutral
168,ဳ,neutral
169,စာသားေတကမိုက္ ျကိဳက္တယ္,positive
170,အသံက အသက္🙂🙂,positive
171,အားေပးေနတယ္😊😊,positive
172,💓💓,positive
174,👏🏾,positive
175,သီးချင်းလေး ချပေးပါ,positive
176,လုပ်ပါအုံး အကိုရ အဆုံးထိ နားထောင်ချင်တာအရင်ကတည်းပြောချင်နေတာ အကိုရေမျှော်နေတယ်ဗျ တခုမလို့ပါ,positive
178,အရမ်းြကိုက်,positive
179,စာသားပါတဲ့ဟာလေးတင်ပေးပါလား 😊,positive
181,🔥,positive
183,မှာလဲ နေရတုန်းပဲ😔,negative
184,စရတာ ပျော်ဖို့ကောင်းလို့😝,positive
185,ဘဲကြီးသိလား ဘဲကြီးရဲ့ သီချင်းတွေ အကုန်လုံးကြိုက်တာ ဒီသီချင်းထွက်ထဲကနေခုထိပဲ အဲ့တော့တွဲကြရအောင်,positive
188,😲,positive
189,ဒိလိုမျိုးလေးတွေလိုချင်မိသေးတယ်ဗျာ,positive
191,နင်စိတ်ကူရင်လဲနင်စိတ်ကူးကစာသားဘဲသိလား,negative
192,😌,neutral
193,မောင်တော့လေမမနဲ့မတွေ့ခင်ကမိန်းမဆယ်ယောက်ကျော်လောက်ရဘူးမဲ့ရုပ်ဘဲချစ်မမ,negative
194,အရမ်းပကြိုက်တယ်,positive
195,အရမ္းမိုက္,positive
196,ကောင်မလေးအသံ အရမ်းကြိုက်တယ်,positive
198,ကနေရောက်လာတာ🎉😮,positive
200,💓,positive
202,ရဲလိုးတဲ့,neutral
203,ကနေရောက်လာတာ😅,positive
205,💐,positive
206,မှာမြင်ဂတယ်းကလိုက်ရှာနေတာ,positive
207,🤟🏻,positive
208,အရန်းမိုက် တယ်ဟာ 😢,positive
210,တစ်ယောက်တည်းဖြစ်နေတဲ့အချိန်မှာ ဒါလေးနားထောင်ရတဲ့ က ဝမ်းနည်းချင်စရာကောင်းသလို နားထောင်လို့လည်းအရမ်းကောင်းတယ်,positive
211,လုပ်ခဲ့သမျှထဲဖြစ်ဖြစ်မြောက်မြောက်ကောင်းတာလေးဆိုဒိတစ်ပုဒ်ဘဲရှိတယ်ကိုကိုရယ်,negative
212,အတော်ကြာပြီလို့တောင်ထင်ရတယ် အဲ့အချိန်တွေတုန်းက ကြီးက ဘယ်လောက်အလုပ်လုပ်နေရပစေ ရလာတာလေးတွေနဲ့ ပွဲတွေလိုက်ကြည့်ရတာ တကယ်ပျော်ဖို့ကောင်းခဲ့တာ,positive
213,တွေ့လိုက်လာကြည့်တာပိုမိုက်,positive
215,တော်တော်ကြာပီဘဲအားပေးလာတာဒီဘဲကြီးကို,positive
216,သီချင်းလေးကောင်းပြီဆိုရင် မအေလိုးက ဖျက်လိုက်ရမှ,negative
218,လူလည်ကုလားကြီးသားဒူဗယ်ဂျေကုလားကြီးအာပလာကြီး,negative
219,ကုလားလူလည်ကြီးသားကုလား,negative
220,😍😍😍,positive
222,🔥💘,positive
223,👍👍👍🙏🙏🔥🔥🔥,positive
226,😢 လွမ်းတယ်,negative
227,ယုန်လေးနဲ့ ဂျေဖားယားနဲ့ တစ်ပုဒ်လောက်ဖြုတ်သင့်နေပြီ 🤣,positive
228,ဒီဆောင်းမှာသူနဲ့ကို့ရဲ့ရင်ခုံသံကိုသိခဲ့ရပြီဒီဆောင်းမှာပဲအဆုံးသတ်ခဲ့တယ်,negative
229,ဒီဘဲက ငစား ဆောင်းတွင်းဆို လို့ကောင်းတဲ့သီချင်းတွေ ထထဆိုတာ 🥲,positive
230,သတိရတယ်ညို😢,negative
231,😢,negative
232,လွမ်းတယ်မင်းကတော့မသိဘူးထင်တယ်😢,negative
233,လွမ်းတယ် ဒီဒီးလေး ဆေးလိပ်တေပ်ုသောက်ဖြစ်တယ် ဒီလောက်ပါပဲ,negative
235,လွမ်းလိုက်တာ🐼,negative
236,ကျွန်တော်ဘဝမှာ အချစ်ရဆုံးသူတယောက်ရှိခဲ့ဖူးတယ် ကျွန်တော် အသက်အခု၂၅နှစ် သူက၁၆ ကျော်ပေါ့ သူကအရမ်းကောင်းခဲ့တယ် သူအရွယ်နဲ့မလိုက်အောင် အများဆုံး ဆုံးမခဲ့တယ် အများကြီး ကျွန်တော် အပေါ် ဖြည့်ဆည်းပေခဲ့တယ် အခုထိလည်း သူကိုချစ်နေသေးတယ် သိုပေမဲ့ ဘယ်လို မှ ရှေ့ဆက်မရတော့ တဲ့အခြေအနေတခုမှာဘဲ သူကိုအမြဲစောင့်ကြည့်ရင် အခုသီချင်းလေးထွက်လာတော့ တိုင်ဆိုင်မှုအများကြီးနဲ့ပေါ့ သူလည်း အခုသီချင်းလေးကို နားထောင်မိပါသေချာပါတယ် အာတာကြောင့် သူကို အခုထိ စောင့်ကြည့်ရင်း အမြဲ ရင်ထဲမှာရှိနေသေးတယ် ဆိုတာ သိစေခြင်တယ်,negative
237,😥💓,positive
238,ချယ်ရီသင်းကိုပြောတာလား,neutral
239,ာ်သေညြးစြစြ,neutral
240,ဘယ်နှစ်ခေါက်ပဲနားထောင်နားထောင် နားထောင်တဲ့အကြိမ်ရေတွက်တိုင်းနာကျင်ရတယ် အတူရှိခဲ့တဲ့အချိန် နှစ်ကဘာမှမဟုတ်ခဲ့တာလား 😭,negative
241,ဒီသီချင်းကြားတိုင်းရင်ဘတ်တွေအောင့်လိုက်တာ😭💔,negative
242,သူများပြန်လာနားထောင်မလားလို့ ငါပြန်လာနားထောင်နေတယ် အခု အတူတူနားထောင်နေတယ်ပေါ့ အရင်လို,negative
243,ပြင်ဦးလွင်မြို့ကိုလွမ်းလိုတ်တာ😢,negative
244,ကဲဗျာ အကို့သီချင်းရယ် ကိုဂျိုးလေးသီချင်းရယ် နားမထောင်မိအောင်နေမှရမယ် ဗျာ 😢😢😢😢,negative
245,ဆောင်းရာသီရောက်တိုင်းအမှတ်တရတွေ က များလိုက်တာ 😌🤍,positive
246,ကယားပြည်နယ် နန်းမယ်ခုံနားမှာ ရိုက်ထားတာလား ဖြေပေးပါလား,neutral
248,ဘယ်လောက်နားထောင်ရိုးမသွားဘူးဗျာ 😭,positive
249,ဆောင်းဝင်နေတာဆိုတော့ သူလည်းသီချင်းနားထောင်နေလောက်မှာ ညိမ်းနွယ်ရေ ကိုယ်မင်းကိုအသက်ထပ်ပိုချစ်တယ် ဘယ်ချိန်ပြန်လာလက်ခံပေးဖို့အသင့်ပါဘဲ😢,negative
250,အပိုင်းလေးက ပိုပြီ ထိရောက်တယ်🙁🙁🙁,neutral
255,ဆောင်းရာသီမှာစခဲ့တဲ့ငါတို့ဇာတ်လမ်းလေး ခုတော့ရပ်တန့်လို့🤎,negative
256,ဆောင်းရာသီမှာ ချစ်သူတစ်ယောက်လောက်ရပါစေ,positive
257,ချစ်သူရပါစေ ဘ၀တစ်သက်တာလုံးရချင်တယ်,positive
258,တစ်ဖြေးဖြေးပြောင်းလဲလာတဲ့အချိန်တွေနေ့ရက်တွေအတိတ်ကိုပဲ ပြန်သွားချင်နေတယ်,negative
259,သတိရသလိုပြန်လဲဆုံချင်တုန်းဘဲဗျာ,negative
260,သတိရပေမယ့်ြပန်မဆုံချင်တော့ဘူး 😢,negative
261,ဒီအချိန်ဆို ဒီသီချင်းဆီရောက်လာပြီး,positive
262,ရောက်နေတဲ့ ကောင်မလေးကိုလွမ်းတယ် ၊ တစ်ချိန်တုန်းက သူမနဲ့အတူတူရှိခဲ့တဲ့ ကလောရဲ့ နံနက်ခင်းတွေကိုလွမ်းတယ်💔,negative
263,ဒီသီချင်းကို အရမ်းကြိုက်တဲ့ ချစ်ရသူလေးရေ နှစ်ရှိနေပေမဲ့ လွမ်းနေတုန်းပါပဲ,negative
264,ဘာကိုသတိရလို့ ရမှန်း မသိတော့ပါဘူးဗျာ😢,negative
265,ဒီသီချင်းနဲ့တွေရှိခဲ့တာလူငယ်တော်တော်များများဘဲကိုယ်လဲအပါအဝင်ပေါ့,positive
266,မောင်ရယ်နာမည်တောင်မသိတဲ့အချိန်ကိုပြန်သွားချင်မိတယ် နင်ကိုချစ်ရတာအရမ်းပင်ပန် ယုံကြည်မှုလွန်ကယ်သွားလို တခြားရင်ခွင်ပျော်နေတာ,negative
267,အေးစက်လွန်းတဲ့ ရင်ခွင်မင်းနဲ့နွေးလာလို့ အဲ့စာကြောင်းလေးထဲကတိုင်း သူမနဲ့အတူတွေ့ခွင့်ရခဲ့တယ် ချစ်ဖြစ်ခဲ့ကြတယ် ခုထိလဲ ချစ်သူဘဝနဲ့ ဖြတ်သန်းရင်းနဲ့ ချစ်ရသူတိုင်း နီးဆပ်ကြပါစေ။,positive
268,ဆောင်းအလယ်မှာမင်း၀င်လာပီးဆောင်းအလယ်မှာပဲမင်းပြန်ထွက်သွားတယါ,negative
269,ဒီသီချင်းနဲ့အမှတ်တရတွေအများကြီးပေါ့ကွယ်,positive
270,မင်းမေ့ စပ သီချင်းလား လဲမပါ ပဲဆိုနေတာ သီချင်းနဲ့ ညီအောင်ရေးပါဆိုပါ ခုတော့ဘာမှမပြည့်စုံတဲ့ဟာ လီးပဲ နာမည်ကြီးဖို့မစဥ်းစားနဲ့,negative
271,အခုလည်း အေးနေပြီလေ သူမကတော့ အနားမှာမရှိတော့ပါဘူး😢,negative
272,အချိန်တွေအကြာကြီးလက်တွဲခဲ့ကြတယ်တယောက်နဲ့တယောက်ဖေးမခဲ့တယ် ကူညီခဲ့ကြတယ်သည်းညည်းခံတတ်တဲ့စိတ်လေးသာပိုမွေးနိုင်ခဲ့ရင် ဒီလိုဆိုးဝါးတဲ့ဖြစ်ရပ်တွေနဲ့အပြီးသတ်ရမဲ့ ဆက်ဆံရေးတစ်ခုဖြစ်ခဲ့မှာမဟုတ်ဘူးဘာပဲဖြစ်ဖြစ် သင်ခန်းစာယူပီးအဆင်ပြေအောင်ရှေ့ဆက်နေကြရမှာပါပဲ ဘ၀ကခွဲခွာခြင်းတွေအပြည့်ပဲမဟုတ်လား,negative
273,အသည်းကွဲတဲ့သူတိုင်း ပြန်ဆုံစည်းဖို့ မန့်တွေမှာ ပြန်လည်တွေ့နိင်ပါစေ🥹ချစ်ရတဲ့သူကို ငါနာမည်တတ်တူးကိုငါကိုတိုင်းထိုးပေးခဲ့ဘူးတယ်,positive
274,ပြန်ရောက်သွားသလိုဘဲ,positive
275,😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🤩🤩🤩🤩🤩🤩🥲🙃🙃🙃🙃🙃🙃🙃🙃🥲🥲🥲🥲🥲🥲,positive
276,မချစ်သင့်တဲ့လူကိုမချစ်ဖို့ ဦးနှောက်ကတားနေပေမဲ့ နှလုံးသားကရှေ့ပဲဆက်တိုးနေတာ နာကျင်ရမယ်မှန်းသိနေလဲ ရှေ့ဆက်တိုးနေမိပြန်ရော😢,negative
278,ဆောင်းရာသီရောင်းတိုင်းထိပ်ဆုံးကနားထောင်မိတဲ့သီချင်း,positive
279,ဆောင်း၀င်တိုင်းပြန်နားထောင်ဖြစ်တဲ့ သီချင်းလေး,positive
280,ဒီသီချင်းကဆောင်းတွင်းဆိုခံစားရပြီ,positive
281,အားလုံး ပဲ,neutral
282,ဆောင်းတွင်းရောက်တိုင်းနားထောင်မိတဲ့သီချင်းလေး ဘယ်တော့မှမမေ့ဘူး,positive
283,ဆောင်းရာသီရောက်တိုင်းဒီသီချင်းကိုနားထောင်ဖစ်တယ်ဒီသီချင်းကိုကြားတိုင်းတစ်စုံတစ်ယောက်နက် ရှိခဲ့တဲ့ဆောင်းအငွေ့အသက်ကိုသတိရမိတယ် နွေးထွေးမှုတွေကိုရောပေါ့😊,positive
284,ဒီသချင်းလေးကြားတော့အမှတ်တရတွေတောင်သတိရသွားတယ်😢,positive
285,သူသာရှိနေရင်သိမ်းကောင်းမာပဲ💔,negative
286,ဆောင်းတွင်းမှာ အကိုမရှိတော့ပိုပြီးတော့အေးစက်နိုင်ပြီ😭,negative
287,အရမ်လွမ်းပါတယ်,negative
288,တကယ်အကိုကိုကျွန်မလွမ်းတဲ့စိတ်လေရှိနေတုန်းပဲ😢😢😢,negative
289,အရမ်းလွမ်းတယ်ကျော့ဝတီ💔,negative
290,ရေးးးးဟေးးးဟေးးးးဆိုတဲ့နေရာမှာ အဲ့လိုအဆုံးမသတ်လိုက်ဘဲ အော်ဆိုရတဲ့အပိုင်းဆိုရင်ပိုမိုက်မယ်ထင်တယ်,neutral
291,နောက်ပိုင်း ကီးထပ်မြင့်သွားရင်တော့ တော်တော်လေးမိုက်မယ်ထင်တယ် အော်တဲ့ အပိုင်းဖြစ်ဖြစ် အရမ်းကောင်းမယ်လို့ထင်တယ် အရမ်းတတ်လို့ ပြောတာတော့မဟုပါဘူး,neutral
292,ဒီနေ့နဲ့ဆို ကို တို့ ဝေးသွားတာ ၆နှစ် နဲ့ ၁၁ လ ၁၈ ရက် ပြည့်တဲ့ နေ့လေးပေါ့ မိန်းခလေးရယ်အရမ်းသတိရတယ် ရေ,negative
293,သိပ်ချစ်ရတဲ့အမျိုးသမီးလေးရှိပါတယ် မလို့ခေါ်ပါတယ် ကျွန်တော့်ရဲ့ရင်နင့်သည်းချာလေးပေါ့ဗျာ သိပ်ချစ်ရတယ် အခုလို အေးနေတဲ့ အချိန်ဆို သူများတွေ ထက် နှစ်ဆ ပိုအေးတက်တဲ့ ကျွန်တော့် ရင်နင့်သည်းချာလေးကို အရမ်းစိတ်ပူတယ် သိပ်ချစ်တယ် တသက်တာ သူ့ တယောက်တည်းကိုပဲ ချစ်နေမှာပါ 🤍,positive
295,ဆောင်းရာသီဟာ ဒီသီချင်းနဲ့ဆို ပိုပြည့်စုံသွားပြီ,positive
296,ဘယ်သူကိုယ်လွမ်းလို့လွမ်းရမှန်မသိတော့ဘူးဗျာ။😢,negative
297,ဆောင်းတောင်ပြန်ရောက်တော့မယ်,neutral
298,ကျနော်တို့ကံကြမ္မာကရက်စက်လွန်းပါတယ်ဗျာ,negative
299,ဆောင်းဝင်တိုင်းနားထောင်နေတုန်း🥹,positive
300,ငါလေငါ ငါ့ကောင်လေးကိုလွမ်းတယ် အဆက်သွယ်မရတာ ၃လရှိခဲ့ပြီဘာမဟုတ်တာလေးဆိုပေမယ့်ငါတွက်တော့ ၃နှစ်နဲ့တူတယ် ငါလေငါစောင့်နေတုန်း ၃လပြည့်ခါနီး ငါတို့ အန်နီပီးနောက်တရက်သယငါ့ဆီစာလာတယ် ဟာလေ လက်တေတောင်တုန်တယ် အရမ်းလွမ်းနေခဲ့တာတယ့်သူလည်း ငါလည်းလွမ်းနေတယ် လိုင်းရတယ့်ထိငါစောင့်နေမှာ အဆက်သွယ် ညပိုင်းကိုအပျက်ပျက်လေးတော့ရတယ် ငါလေအခုလိုမရခဲ့ရင်တောင်ငါစောင့်နေမှာသူ့ကို ငါသိစေချင်တယ် ကိုကိုငါလေနင့်အပြင်ဘယ်ကောင်မှစိတ်မဝင်စားဖူးဆိုတာ ကိုကိုဂရုစိုက်ပါ လိုင်းရတယ့်ချိန်အဝပြောကြတာပေါ့ သိပ်ချစ်တယ်ကိုကို 🖤,negative
301,ကိုယ်ချစ်ရတဲ့ရဲလင်းလေးနဲ့ အတူရှိခဲ့တဲ့ နေရာနဲ့ တူနေတယ်,neutral
302,ရှုတင်နေရာက ဘယ်မှာလဲဟင်,neutral
303,ဒီကောင်ကိုေမ့ထားပီးေတာ့နောက်တစ်ယောက်နဲ့ပျော်ရွှင်ပီးအဆင်ပြေပြေနေနိုင်ကြပါစေကွယ်🤕🥀,negative
304,လွမ်းတယ်😢,negative
305,လွမ်းတယ်,negative
307,ကျွန်တော့် က သီချင်းလေးကိုရှဲ ထားပီး လေးရေးထားပါတယ် ဆောင်းတောင်တဖန်ပြန်ရောက်လာပီ မင်းရဲ့အနွေးဓာတ်လေးကိုပြန်လွမ်းမိပါတယ် တဲ့လေ😢,negative
308,ဒီနေ့မင်းမွေးနေ့လေ ကိုယ်ခုထိသတိရနေဆဲပဲ လွမ်းမိတယ် ဒီသီချင်းကြားရင်😢,negative
309,😔😞သတိရတယ် သူကိုချစ်အိဖြိူး 😔😞😭😭😭💔💔💔💔💔😔😭,negative
310,ဒီနေ့ ည ပိုပီးသတိရနေတယ်,neutral
311,ဆောင်း၀င်တော့မယ်အချစ်ရေး ဒီဆောင်းရာသီရောက်ရင် ခံစားချက်ကကောင်းမနေဘူး အမှတ်တရများလွန်းလို့😌,positive
313,ပြန်တွေ့ နေရတာတောင်ပြန်မဖြစ်နိုင်တော့တဲ့ အခြေနေ,negative
314,နားထောင်မိတိုင်း သတိရလိုက်တာဗျာ,positive
315,သတိရတယ်ကွယ် နားထောင်မိတိုင်းလားရှိုးမြို့ကိုသတိရတယ် ရင်ထဲနစ်နေအောင်ခံစားရတယ် အမှတ်တရတွေကိုလဲသတိရတယ်,positive
316,လွမ်းလိုက်တာ 😊,positive
317,အရမ်းကြိုက်,positive
318,သူထွက်သွာတာ နှစ် နဲ့ လရှိပါပြီ 😞,negative
319,သူ မချစ်နိုင်တော့ဘူးဆိုလို့သာနောက်ဆုတ်ပေးခဲ့တာ ကိုဘယ်မေ့နိုင်မှာလည်း,negative
320,ဒီသီချင်းကြားရင်လွမ်းချင်လာသလိုပဲ လွမ်းစရာမရှိ ကြံဖန်လွမ်းတော့ ချမ်းကိုရဲ့အဝါရောင်စိုက်ခင်းဆိုတဲ့ ဝတ်ထုကိုပဲ သွားသတိရ,negative
321,ဒီသီချင်း က သီချင်းတစ်ပုဒ်ဆိုတာထက် ကပိုများနေတယ်ဗျာ💔😓,negative
322,လွမ်းတယ်ဟာ,negative
